31102105    Literary 	68.9
32125345	Literary 	87.4
32125348	Literary 	69.1
32125349	Literary 	95
32125350	Literary 	94
32125351	Literary 	76.3
32125352	Literary 	68.4
32125353	Literary 	87.6
32125354	Literary 	89.4
32125356	Literary 	61.7
32125357	Literary 	55
32125362	Literary 	63
32125363	Literary 	76.9
32125364	Literary 	55.4
32125367	Literary 	82.1
32125369	Literary 	66.7
32125371	Literary 	71.4
32125372	Literary 	78.3
32125373	Literary 	86.7
32125374	Literary 	69.3
32125375	Literary 	60.7
32125376	Literary 	70.7
32125377	Literary 	70.6
32125379	Literary 	71.1
32125382	Literary 	70.9
32125383	Literary 	92.6
32125385	Literary 	70.7
32125386	Literary 	89.1
32125388	Literary 	95
32125390	Literary 	60
32125391	Literary 	95.3
32125392	Literary 	81.4
32125393	Literary 	55.6
32125394	Literary 	74.6
32125395	Literary 	86
32125396	Literary 	75.3
32125397	Literary 	71.4
32125398	Literary 	84
32125399	Literary 	68.3
32125400	Literary 	64.6
32125401	Literary 	63
32125402	Literary 	63.4
32125403	Literary 	90.4
32125404	Literary 	58.3
32125405	Literary 	71.1
32125406	Literary 	88.9
32125408	Literary 	91.6
32125409	Literary 	83.3
32125410	Literary 	92.7
32125412	Literary 	77.6
32125414	Literary 	63
32125415	Literary 	67.6
32125416	Literary 	67.3
32125417	Literary 	63.1
32125418	Literary 	90
32125420	Literary 	60.3
32125422	Literary 	83.7
32125424	Literary 	76.4
32125426	Literary 	80.1
32125427	Literary 	94.3
32125428	Literary 	65.9
32125429	Literary 	72.4
32125430	Literary 	54.1
32125432	Literary 	89.4
32125433	Literary 	59.1
32125436	Literary 	54.4
32125438	Literary 	79.4
32125441	Literary 	94.3
32125442	Literary 	81.3
32125602	Literary 	68.9
32125606	Literary 	75
32125612	Literary 	86
32125617	Literary 	80.4
32125619	Literary 	87.6
32125621	Literary 	55.6
32125627	Literary 	63.3
32125630	Literary 	54.9
32125634	Literary 	67.4
32125644	Literary 	58.9
32125652	Literary 	93
32125653	Literary 	76.3
32125654	Literary 	70.7
32125661	Literary 	65.4
32125664	Literary 	56.3
32125666	Literary 	78.6
32125667	Literary 	59.4
32125668	Literary 	70.4
32125670	Literary 	78.9
32125672	Literary 	64.9
32125673	Literary 	62.1
32125674	Literary 	70.9
32125675	Literary 	92
32125678	Literary 	72.1
32125679	Literary 	67.7
32125687	Literary 	61.3
32152102	Scientific	70.4
32152103	Scientific	76.4
32152105	Scientific	84.4
32152106	Scientific	90.7
32152107	Scientific	72.4
32152108	Scientific	82.4
32152109	Scientific	69.4
32152113	Scientific	94.4
32152115	Scientific	98
32152116	Scientific	94.3
32152117	Scientific	81.3
32152118	Scientific	90.9
32152119	Scientific	69.4
32152120	Scientific	86.4
32152121	Scientific	67.9
32152123	Scientific	99.1
32152125	Scientific	75.6
32152126	Scientific	80.7
32152128	Scientific	62.7
32152130	Scientific	70.7
32152131	Scientific	96.3
32152132	Scientific	79.9
32152134	Scientific	73.4
32152135	Scientific	89.3
32152136	Scientific	86.4
32152137	Scientific	80.7
32152138	Scientific	93.9
32152139	Scientific	87.6
32152140	Scientific	77.1
32152143	Scientific	89.7
32152145	Scientific	87.9
32152146	Scientific	74.1
32152148	Scientific	62.1
32152153	Scientific	80.1
32152154	Scientific	71.9
32152155	Scientific	64.9
32152156	Scientific	93.4
32152157	Scientific	79.4
32152159	Scientific	76.1
32152160	Scientific	64.6
32152163	Scientific	88.9
32152164	Scientific	78.7
32152166	Scientific	75.3
32152167	Scientific	69
32152168	Scientific	94
32152169	Scientific	70.3
32152170	Scientific	65.7
32152171	Scientific	92.3
32152172	Scientific	87.9
32152174	Scientific	87.4
32152175	Scientific	97.3
32152176	Scientific	64.6
32152178	Scientific	76.7
32152179	Scientific	68.7
32152182	Scientific	87.6
32152185	Scientific	69.9
32152186	Scientific	86.9
32152187	Scientific	90.1
32152188	Scientific	72.7
32152190	Scientific	89
32152191	Scientific	87.3
32152192	Scientific	78.4
32152193	Scientific	82.9
32152194	Scientific	97
32152196	Scientific	73.3
32152197	Scientific	73.4
32152198	Scientific	82.1
32152199	Scientific	89.1
32152200	Scientific	71
32152201	Scientific	70.4
32152202	Scientific	88.1
32152203	Scientific	83.9
32152205	Scientific	70.7
32152206	Scientific	98.9
32152208	Scientific	92.3
32152209	Scientific	85
32152210	Scientific	91.7
32152211	Scientific	80.6
32152212	Scientific	84
32152213	Scientific	63
32152214	Scientific	83.9
32152217	Scientific	65.4
32152218	Scientific	80.3
32152219	Scientific	68.6
32152221	Scientific	97.4
32152223	Scientific	88.7
32152224	Scientific	83.3
32152225	Scientific	83.4
32152226	Scientific	75
32152228	Scientific	72.7
32152229	Scientific	92.9
32152230	Scientific	78.1
32152231	Scientific	93.6
32152232	Scientific	71
32152235	Scientific	92.9
32152236	Scientific	91.7
32152237	Scientific	75.4
32152239	Scientific	69.3
32152241	Scientific	75.1
32152242	Scientific	66.4
32152243	Scientific	86.1
32152247	Scientific	80.7
32152248	Scientific	67.7
32152250	Scientific	76
32152251	Scientific	62.7
32152252	Scientific	72
32152253	Scientific	93
32152254	Scientific	75
32152255	Scientific	85.9
32152257	Scientific	87
32152258	Scientific	71.7
32152259	Scientific	64
32152260	Scientific	64.3
32152261	Scientific	78.6
32152262	Scientific	63.6
32152263	Scientific	72
32152264	Scientific	92.6
32152265	Scientific	93.4
32152266	Scientific	84.7
32152267	Scientific	81.1
32152269	Scientific	90.7
32152271	Scientific	59.7
32152272	Scientific	83.7
32152273	Scientific	94.9
32152274	Scientific	89.3
32152275	Scientific	91.6
32152276	Scientific	74.3
32152277	Scientific	78.6
32152279	Scientific	65.3
32152280	Scientific	78.7
32152281	Scientific	86.3
32152283	Scientific	88.6
32152285	Scientific	97.3
32152287	Scientific	65.1
32152288	Scientific	73.1
32152290	Scientific	88.7
32152291	Scientific	70.1
32152292	Scientific	88.4
32152293	Scientific	63.6
32152296	Scientific	54.6
32152297	Scientific	73.3
32152298	Scientific	93.7
32152299	Scientific	92.1
32152300	Scientific	83.9
32152301	Scientific	73.1
32152302	Scientific	77.6
32152304	Scientific	66.6
32152305	Scientific	82
32152306	Scientific	77.4
32152308	Scientific	96.6
32152310	Scientific	74.6
32152311	Scientific	83.9
32152314	Scientific	75.7
32152316	Scientific	85.6
32152317	Scientific	96.3
32152318	Scientific	64.9
32152319	Scientific	86.3
32152322	Scientific	78.7
32152324	Scientific	89.4
32152325	Scientific	67.3
32152326	Scientific	86.4
32152327	Scientific	97.9
32152328	Scientific	62.6
32152329	Scientific	98
32152330	Scientific	67.7
32152331	Scientific	79.3
32152332	Scientific	62.7
32152333	Scientific	89.9
32152334	Scientific	87.7
32152335	Scientific	74.7
32152336	Scientific	78.6
32152339	Scientific	91
32152340	Scientific	83
32152341	Scientific	63
32152342	Scientific	94.4
32152343	Scientific	94.1
32152344	Scientific	97.1
32152347	Scientific	94.9
32152348	Scientific	68.6
32152349	Scientific	91.9
32152350	Scientific	96.7
32152351	Scientific	99.3
32152352	Scientific	75.4
32152353	Scientific	87.7
32152354	Scientific	75.9
32152355	Scientific	69.3
32152356	Scientific	84.4
32152357	Scientific	63.6
32152358	Scientific	66.3
32152359	Scientific	78.3
32152360	Scientific	65.4
32152361	Scientific	77.9
32152362	Scientific	93
32152363	Scientific	96.6
32152364	Scientific	64.1
32152365	Scientific	74.3
32152366	Scientific	65.1
32152367	Scientific	71.6
32152369	Scientific	95.6
32152370	Scientific	84.3
32152371	Scientific	96.6
32152372	Scientific	65.6
32152374	Scientific	86.1
32152375	Scientific	89.3
32152376	Scientific	73.9
32152377	Scientific	88.6
32152378	Scientific	88.1
32152379	Scientific	89.6
32152381	Scientific	83.9
32152382	Scientific	92
32152383	Scientific	65.6
32152384	Scientific	88.1
32152387	Scientific	68.9
32152388	Scientific	76.4
32152389	Scientific	84.9
32152390	Scientific	91
32152392	Scientific	87
32152393	Scientific	83.1
32152394	Scientific	83.7
32152395	Scientific	75.9
32152396	Scientific	66.1
32152397	Scientific	92.9
32152399	Scientific	74.4
32152401	Scientific	79.3
32152402	Scientific	97.3
32152403	Scientific	98
32152407	Scientific	88.1
32152408	Scientific	76.9
32152409	Scientific	64.9
32152410	Scientific	87.6
32152411	Scientific	95.3
32152413	Scientific	72.1
32152415	Scientific	62
32152416	Scientific	70.1
32152418	Scientific	68.6
32152419	Scientific	79.3
32152420	Scientific	64.6
32152421	Scientific	61.7
32152422	Scientific	93.3
32152423	Scientific	79.1
32152424	Scientific	94.7
32152425	Scientific	84.7
32152426	Scientific	76
32152427	Scientific	65.4
32152428	Scientific	94.6
32152429	Scientific	83.1
32152430	Scientific	63
32152431	Scientific	80
32152433	Scientific	96.7
32152434	Scientific	63.6
32152435	Scientific	85.9
32152436	Scientific	79.3
32152437	Scientific	82.4
32152442	Scientific	81.6
32152443	Scientific	89.9
32152444	Scientific	79.1
32152446	Scientific	65.3
32152447	Scientific	87.3
32152448	Scientific	96.1
32152449	Scientific	77.9
32152450	Scientific	79
32152452	Scientific	87.4
32152453	Scientific	92.6
32152454	Scientific	63
32152455	Scientific	70.1
32152456	Scientific	85.3
32152457	Scientific	76.4
32152458	Scientific	65
32152460	Scientific	87.4
32152461	Scientific	83.9
32152462	Scientific	93.3
32152463	Scientific	98.9
32152467	Scientific	67.7
32152468	Scientific	74.4
32152470	Scientific	80.7
32152471	Scientific	96.9
32152472	Scientific	69.3
32152474	Scientific	95.3
32152475	Scientific	86.4
32152476	Scientific	89.4
32152477	Scientific	81.1
32152478	Scientific	88.7
32152479	Scientific	92.4
32152480	Scientific	93.9
32152482	Scientific	88.6
32152483	Scientific	82
32152484	Scientific	82.4
32152485	Scientific	66.6
32152486	Scientific	84.7
32152488	Scientific	97.1
32152490	Scientific	96.7
32152491	Scientific	98.6
32152493	Scientific	81.3
32152495	Scientific	91.7
32152496	Scientific	90.4
32152498	Scientific	96.6
32152499	Scientific	69
32152500	Scientific	84.1
32152501	Scientific	78.1
32152502	Scientific	87.3
32152503	Scientific	92.1
32152504	Scientific	94.7
32152505	Scientific	87.9
32152508	Scientific	65.6
32152511	Scientific	78.9
32152512	Scientific	96.1
32152514	Scientific	81.3
32152515	Scientific	88.1
32152518	Scientific	95.3
32152520	Scientific	75.1
32152521	Scientific	62.4
32152522	Scientific	97.4
32152523	Scientific	97.1
32152526	Scientific	78.7
32152527	Scientific	73
32152528	Scientific	90.7
32152530	Scientific	99
32152531	Scientific	85.6
32152533	Scientific	68
32152536	Scientific	74.7
32152537	Scientific	67.3
32152539	Scientific	77.3
32152540	Scientific	72.1
32152541	Scientific	98.7
32152544	Scientific	83.3
32152545	Scientific	90.7
32152547	Scientific	97.6
32152548	Scientific	77.9
32152549	Scientific	81.9
32152550	Scientific	71.6
32152553	Scientific	72.1
32152554	Scientific	90.7
32152555	Scientific	94.7
32152556	Scientific	62.6
32152557	Scientific	65.6
32152558	Scientific	60.7
32152559	Scientific	68.6
32152560	Scientific	88.1
32152561	Scientific	88.1
32152564	Scientific	74.7
32152565	Scientific	89
32152566	Scientific	99.3
32152567	Scientific	82.7
32152568	Scientific	98.1
32152569	Scientific	82.1
32152570	Scientific	80.4
32152572	Scientific	92
32152575	Scientific	82.7
32152576	Scientific	84.4
32152577	Scientific	75.7
32152579	Scientific	85.4
32152580	Scientific	78.6
32152582	Scientific	99.1
32152583	Scientific	64.9
32152584	Scientific	76.4
32152586	Scientific	79.9
32152587	Scientific	89
32152588	Scientific	89.3
32152589	Scientific	69.6
32152590	Scientific	96.7
32152591	Scientific	96.9
32152592	Scientific	91.4
32152593	Scientific	86.7
32152594	Scientific	83.3
32152595	Scientific	87.1
32152596	Scientific	87
32152598	Scientific	91
32152599	Scientific	75.9
32152600	Scientific	94.4
32152602	Scientific	87.9
32152603	Scientific	77.9
32152605	Scientific	68.6
32152607	Scientific	77.1
32152608	Scientific	73.4
32152610	Scientific	84.1
32152611	Scientific	84.6
32152613	Scientific	91.9
32152615	Scientific	87
32152616	Scientific	97.4
32152617	Scientific	74
32152618	Scientific	87
32152619	Scientific	83.4
32152620	Scientific	81.7
32152621	Scientific	93.3
32152622	Scientific	73.6
32152623	Scientific	93
32152624	Scientific	94.9
32152626	Scientific	72.7
32152802	Scientific	74.7
32152805	Scientific	65.6
32152815	Scientific	72.7
32152817	Scientific	65.1
32152818	Scientific	60.3
32152823	Scientific	93.7
32152824	Scientific	76.9
32152826	Scientific	79.1
32152831	Scientific	87.1
32152836	Scientific	86.3
32152839	Scientific	87
32153101	Scientific	85.1
32153102	Scientific	90.3
32153103	Scientific	90
32153104	Scientific	69.6
32153105	Scientific	86.1
32153106	Scientific	69.1
32153107	Scientific	89.7
32153108	Scientific	66.4
32153110	Scientific	80.7
32153111	Scientific	71
32153112	Scientific	98
32153113	Scientific	88.1
32153114	Scientific	72.4
32153115	Scientific	76.3
32153116	Scientific	79.1
32153117	Scientific	98.7
32153118	Scientific	87.4
32153119	Scientific	82.6
32153120	Scientific	69.7
32153121	Scientific	78.7
32153122	Scientific	83
32153123	Scientific	92.1
32153124	Scientific	66.1
32153125	Scientific	65.7
32153126	Scientific	87.6
32153127	Scientific	90.4
32153128	Scientific	78.9
32153129	Scientific	70
32153130	Scientific	79.6
32153131	Scientific	77.7
32153132	Scientific	89.7
32153136	Scientific	92.9
32153138	Scientific	86.6
32153139	Scientific	80.3
32153140	Scientific	83.7
32153141	Scientific	89.7
32153142	Scientific	64.4
32153143	Scientific	65
32153144	Scientific	69.7
32153145	Scientific	61
32153146	Scientific	68.4
32153147	Scientific	76.3
32153148	Scientific	74.7
32153149	Scientific	95.7
32153150	Scientific	83.9
32153151	Scientific	72.1
32153153	Scientific	83.4
32153154	Scientific	88.4
32153157	Scientific	77.3
32153158	Scientific	86.7
32153159	Scientific	58.4
32153160	Scientific	92.4
32153161	Scientific	97
32153162	Scientific	98
32153163	Scientific	77
32153165	Scientific	79.1
32153166	Scientific	95.9
32153167	Scientific	87.9
32153168	Scientific	97.4
32153169	Scientific	60.3
32153170	Scientific	83.9
32153171	Scientific	91.7
32153172	Scientific	77
32153173	Scientific	91.6
32153174	Scientific	78.1
32153175	Scientific	98.9
32153176	Scientific	89
32153177	Scientific	96.4
32153178	Scientific	75.1
32153179	Scientific	87.1
32153180	Scientific	84.6
32153181	Scientific	88.3
32153182	Scientific	98.3
32153183	Scientific	88.3
32153184	Scientific	73.1
32153185	Scientific	88.6
32153186	Scientific	66.1
32153187	Scientific	70.4
32153188	Scientific	94.9
32153189	Scientific	95.6
32153190	Scientific	95.7
32153191	Scientific	79.1
32153192	Scientific	62.6
32153193	Scientific	62.3
32153194	Scientific	94.1
32153195	Scientific	89.7
32153196	Scientific	87.6
32153197	Scientific	96.1
32153198	Scientific	86.3
32153199	Scientific	92.4
32153200	Scientific	71.7
32153201	Scientific	71
32153202	Scientific	93.3
32153203	Scientific	94.4
32153204	Scientific	76
32153205	Scientific	78.4
32153206	Scientific	84.9
32153207	Scientific	65.4
32153208	Scientific	69.4
32153209	Scientific	86
32153210	Scientific	67.3
32153211	Scientific	96.1
32153212	Scientific	94.9
32153213	Scientific	86.4
32153214	Scientific	70.6
32153217	Scientific	96.6
32153218	Scientific	89.1
32153219	Scientific	98.4
32153220	Scientific	88.1
32153221	Scientific	82.9
32153222	Scientific	80.3
32153223	Scientific	74.6
32153224	Scientific	97.1
32153225	Scientific	96.3
32153226	Scientific	81.3
32153227	Scientific	91.4
32153229	Scientific	92.4
32153230	Scientific	94.7
32153231	Scientific	96.4
32153232	Scientific	81.9
32153233	Scientific	84.7
32153234	Scientific	67.6
32153236	Scientific	91.6
32153237	Scientific	98.6
32153238	Scientific	69.1
32153239	Scientific	92.7
32153241	Scientific	77.7
32153243	Scientific	83.3
32153244	Scientific	93.1
32153247	Scientific	78.1
32153248	Scientific	79.7
32153249	Scientific	71.9
32153250	Scientific	87.7
32153252	Scientific	90.9
32153253	Scientific	66.3
32153254	Scientific	87.7
32153255	Scientific	92
32153256	Scientific	87.6
32153257	Scientific	62.4
32153258	Scientific	91.4
32153259	Scientific	72.9
32153260	Scientific	83
32153261	Scientific	65.9
32153262	Scientific	92.9
32153263	Scientific	80.1
32153264	Scientific	76.9
32153265	Scientific	86.9
32153266	Scientific	89.6
32153267	Scientific	79.3
32153271	Scientific	84.6
32153272	Scientific	87
32153273	Scientific	88.4
32153274	Scientific	97.6
32153275	Scientific	94.4
32153276	Scientific	99.3
32153277	Scientific	94.7
32153278	Scientific	67.4
32153279	Scientific	63.4
32153280	Scientific	80.6
32153282	Scientific	71.9
32153283	Scientific	86.7
32153284	Scientific	94.9
32153285	Scientific	96.6
32153286	Scientific	84.7
32153288	Scientific	84.3
32153289	Scientific	79.3
32153290	Scientific	63
32153291	Scientific	84.1
32153292	Scientific	86.6
32153293	Scientific	95.4
32153294	Scientific	86.4
32153295	Scientific	89.3
32153296	Scientific	96.4
32153297	Scientific	66.6
32153298	Scientific	78.4
32153299	Scientific	74.7
32153301	Scientific	80.4
32153302	Scientific	92.4
32153304	Scientific	68.9
32153305	Scientific	94.1
32153306	Scientific	81
32153307	Scientific	76.4
32153309	Scientific	80.6
32153310	Scientific	86.4
32153311	Scientific	78.3
32153312	Scientific	72.4
32153313	Scientific	83
32153314	Scientific	68.3
32153315	Scientific	93.1
32153316	Scientific	75.6
32153317	Scientific	83.1
32153318	Scientific	69.7
32153319	Scientific	94.9
32153320	Scientific	69.6
32153321	Scientific	77
32153322	Scientific	77.7
32153323	Scientific	81.7
32153324	Scientific	90.7
32153325	Scientific	79
32153326	Scientific	96.7
32153327	Scientific	90.1
32153328	Scientific	93.6
32153330	Scientific	92.7
32153331	Scientific	86.7
32153332	Scientific	97.7
32153334	Scientific	90.1
32153335	Scientific	91.1
32153336	Scientific	89.7
32153338	Scientific	86.4
32153339	Scientific	75.3
32153340	Scientific	97.3
32153341	Scientific	93.1
32153342	Scientific	84.6
32153343	Scientific	97
32153345	Scientific	77
32153346	Scientific	90
32153347	Scientific	79.9
32153348	Scientific	85.9
32153350	Scientific	97.7
32153351	Scientific	88.4
32153352	Scientific	93.7
32153353	Scientific	83.9
32153354	Scientific	86
32153355	Scientific	83.7
32153356	Scientific	66.6
32153357	Scientific	93.7
32153358	Scientific	68.9
32153359	Scientific	93.4
32153360	Scientific	96.3
32153361	Scientific	90
32153363	Scientific	76.4
32153364	Scientific	84.6
32153365	Scientific	94.4
32153366	Scientific	89
32153367	Scientific	87.3
32153368	Scientific	93.6
32153369	Scientific	80.4
32153370	Scientific	78.6
32153371	Scientific	59.3
32153372	Scientific	88.3
32153373	Scientific	92.3
32153374	Scientific	94.6
32153376	Scientific	94.1
32153377	Scientific	93.1
32153378	Scientific	90.7
32153379	Scientific	92.9
32153380	Scientific	85.1
32153381	Scientific	89.9
32153385	Scientific	83.9
32153386	Scientific	76.9
32153387	Scientific	95.6
32153388	Scientific	88.7
32153389	Scientific	77.1
32153390	Scientific	73.7
32153391	Scientific	88.9
32153392	Scientific	92.6
32153393	Scientific	78
32153394	Scientific	90.7
32153395	Scientific	93
32153396	Scientific	62.7
32153397	Scientific	98
32153398	Scientific	96.9
32153399	Scientific	94.3
32153400	Scientific	90.3
32153401	Scientific	90.3
32153403	Scientific	84.3
32153404	Scientific	91.4
32153405	Scientific	72.7
32153406	Scientific	64.4
32153407	Scientific	82.6
32153408	Scientific	84.4
32153409	Scientific	72.4
32153410	Scientific	92.6
32153411	Scientific	96.7
32153412	Scientific	95.6
32153413	Scientific	82.9
32153414	Scientific	96.6
32153416	Scientific	94.7
32153417	Scientific	71.3
32153418	Scientific	65.6
32153419	Scientific	88.7
32153420	Scientific	99.4
32153421	Scientific	88.9
32153422	Scientific	97.1
32153423	Scientific	92.3
32153424	Scientific	88.7
32153425	Scientific	91.6
32153426	Scientific	90.7
32153427	Scientific	69.6
32153429	Scientific	64.4
32153431	Scientific	91.3
32153433	Scientific	91.1
32153434	Scientific	90
32153435	Scientific	84.6
32153437	Scientific	83.9
32153438	Scientific	81.3
32153439	Scientific	85.7
32153440	Scientific	80.1
32153441	Scientific	73.4
32153442	Scientific	96.4
32153443	Scientific	86.4
32153444	Scientific	68.6
32153445	Scientific	93
32153446	Scientific	68.3
32153447	Scientific	69.4
32153449	Scientific	76.3
32153450	Scientific	79.7
32153451	Scientific	91.4
32153452	Scientific	87.1
32153455	Scientific	66.7
32153456	Scientific	87.3
32153457	Scientific	74.4
32153458	Scientific	93.7
32153459	Scientific	98
32153460	Scientific	93.7
32153461	Scientific	96.3
32153463	Scientific	98.9
32153464	Scientific	81.4
32153465	Scientific	72.1
32153466	Scientific	82.7
32153467	Scientific	61.6
32153468	Scientific	60
32153469	Scientific	96.3
32153470	Scientific	82.3
32153471	Scientific	88.7
32153472	Scientific	68.9
32153473	Scientific	68.9
32153474	Scientific	80.9
32153475	Scientific	77.9
32153476	Scientific	93.7
32153477	Scientific	77
32153478	Scientific	83.1
32153480	Scientific	95.3
32153481	Scientific	98.9
32153482	Scientific	93.7
32153483	Scientific	83.9
32153484	Scientific	76.1
32153485	Scientific	77.9
32153486	Scientific	98.1
32153487	Scientific	81.7
32153488	Scientific	89
32153489	Scientific	87.9
32153490	Scientific	81.9
32153491	Scientific	96.6
32153492	Scientific	87.1
32153493	Scientific	87.6
32153494	Scientific	85.4
32153495	Scientific	76.4
32153496	Scientific	81
32153498	Scientific	96
32153499	Scientific	83.3
32153500	Scientific	98
32153501	Scientific	98.3
32153502	Scientific	71.3
32153503	Scientific	96
32153504	Scientific	87.1
32153505	Scientific	98.9
32153506	Scientific	97.6
32153507	Scientific	91
32153508	Scientific	90.4
32153509	Scientific	91.9
32153510	Scientific	81.3
32153511	Scientific	84.6
32153512	Scientific	77.4
32153513	Scientific	89.7
32153514	Scientific	63.1
32153515	Scientific	95.1
32153516	Scientific	71.3
32153517	Scientific	93.4
32153518	Scientific	76.1
32153519	Scientific	79.3
32153520	Scientific	81.9
32153521	Scientific	92.4
32153522	Scientific	96.6
32153523	Scientific	82.3
32153524	Scientific	94.9
32153525	Scientific	89.6
32153526	Scientific	97.1
32153527	Scientific	87
32153528	Scientific	66.3
32153529	Scientific	71.1
32153530	Scientific	80
32153531	Scientific	93.7
32153532	Scientific	73.6
32153533	Scientific	75
32153534	Scientific	80.3
32153535	Scientific	76.3
32153701	Scientific	72.4
32153703	Scientific	74.7
32153707	Scientific	71.4
32153711	Scientific	61.7
32153712	Scientific	67.6
34129207	Literary 	67.6
34129208	Literary 	74.6
34129210	Literary 	56.6
34129214	Literary 	61.6
34129218	Literary 	62.9
34129220	Literary 	81.4
34129222	Literary 	72.9
34129223	Literary 	65.3
34129228	Literary 	57.3
34129230	Literary 	72.6
34129234	Literary 	55
34129235	Literary 	74
34129237	Literary 	70.7
34129238	Literary 	53.4
34129240	Literary 	73.4
34129241	Literary 	65.3
34129243	Literary 	71.7
34129244	Literary 	74.7
34129246	Literary 	66.6
34129250	Literary 	75.7
34129252	Literary 	79.9
34129254	Literary 	77.1
34129257	Literary 	72.4
34129258	Literary 	54.4
34129259	Literary 	62.4
34129260	Literary 	54.7
34129266	Literary 	66.9
34129272	Literary 	70.4
34129273	Literary 	77.3
34129276	Literary 	65.9
34129277	Literary 	61.4
34129278	Literary 	76.7
34129280	Literary 	78.3
34129283	Literary 	72.9
34129287	Literary 	67.4
34129288	Literary 	74.7
34129289	Literary 	69
34129292	Literary 	58.4
34129294	Literary 	78.6
34129297	Literary 	63.7
34129300	Literary 	57.1
34129301	Literary 	59.4
34129302	Literary 	59.3
34129308	Literary 	63.3
34129309	Literary 	59.4
34129310	Literary 	65.6
34129313	Literary 	56
34129318	Literary 	59.4
34129321	Literary 	61.3
34129323	Literary 	74.4
34129324	Literary 	68.9
34129326	Literary 	63.7
34129328	Literary 	67.9
34129329	Literary 	64.7
34129331	Literary 	70.6
34129332	Literary 	95.7
34129339	Literary 	70.4
34129340	Literary 	66
34129343	Literary 	76.7
34129347	Literary 	75.4
34129348	Literary 	78.1
34129350	Literary 	69.9
34129355	Literary 	58.7
34129356	Literary 	83.7
34129361	Literary 	71.3
34129363	Literary 	81.3
34129365	Literary 	81.4
34129366	Literary 	67.4
34129371	Literary 	62.6
34129374	Literary 	56.1
34129378	Literary 	74.4
34129379	Literary 	73.9
34129385	Literary 	79.4
34129388	Literary 	64.4
34129389	Literary 	57.4
34129390	Literary 	59.7
34129391	Literary 	84.4
34129393	Literary 	64.3
34129400	Literary 	67
34129401	Literary 	90.6
34129402	Literary 	90.1
34129403	Literary 	66.4
34129405	Literary 	65.1
34129406	Literary 	76.9
34129408	Literary 	65.3
34129410	Literary 	79
34129417	Literary 	89.3
34129418	Literary 	60.4
34129425	Literary 	76.9
34129427	Literary 	69.1
34129433	Literary 	54.6
34129436	Literary 	68.9
34129438	Literary 	73.9
34129439	Literary 	74.9
34129442	Literary 	72.4
34129444	Literary 	90.7
34129445	Literary 	78.7
34129446	Literary 	55.9
34129448	Literary 	69.9
34129453	Literary 	51
34129454	Literary 	90.1
34129455	Literary 	66.4
34129456	Literary 	59
34129458	Literary 	56.4
34129459	Literary 	77.6
34129463	Literary 	76.1
34129464	Literary 	82.9
34129469	Literary 	53.7
34129473	Literary 	78
34129474	Literary 	64.3
34129475	Literary 	71.3
34129478	Literary 	64.9
34129482	Literary 	57.1
34129483	Literary 	72.6
34129485	Literary 	72.7
34129486	Literary 	62.7
34129492	Literary 	56.6
34129495	Literary 	64
34129497	Literary 	67.3
34129498	Literary 	65.1
34129504	Literary 	68.1
34129508	Literary 	64.3
34129510	Literary 	67.6
34129511	Literary 	61.9
34129513	Literary 	67.9
34129516	Literary 	80.7
34129523	Literary 	70.4
34129526	Literary 	73.1
34129527	Literary 	62
34129529	Literary 	67.7
34129530	Literary 	59.7
34129532	Literary 	74.7
34129533	Literary 	54.1
34129537	Literary 	61
34129539	Literary 	59.3
34129540	Literary 	66.1
34129541	Literary 	61.7
34129542	Literary 	67.6
34129543	Literary 	68
34129545	Literary 	65.4
34129551	Literary 	67.7
34129552	Literary 	64.9
34129554	Literary 	70.6
34129555	Literary 	63.3
34129557	Literary 	78.7
34129559	Literary 	71
34129560	Literary 	57.1
34129561	Literary 	80.9
34129565	Literary 	68.6
34129567	Literary 	57.1
34129568	Literary 	73.3
34129572	Literary 	64.9
34129573	Literary 	60.7
34129576	Literary 	57.4
34129580	Literary 	59.9
34129581	Literary 	77.7
34129585	Literary 	68.1
34129588	Literary 	73.3
34129591	Literary 	65
34129592	Literary 	62.9
34129593	Literary 	69.6
34129596	Literary 	55.7
34129598	Literary 	57.6
34129600	Literary 	63.3
34129601	Literary 	92.6
34129603	Literary 	62.9
34129607	Literary 	67
34129609	Literary 	54.4
34129613	Literary 	66.3
34129619	Literary 	59.3
34129620	Literary 	67.3
34129621	Literary 	80.4
34129622	Literary 	65.7
34129634	Literary 	69.6
34129639	Literary 	55
34129648	Literary 	91.1
34129653	Literary 	72.3
34129660	Literary 	57.3
34129662	Literary 	64.3
34129664	Literary 	66.6
34129666	Literary 	63.4
34129668	Literary 	70.7
34129670	Literary 	58.1
34129672	Literary 	66
34129673	Literary 	89.6
34129674	Literary 	75.7
34129676	Literary 	79.9
34129679	Literary 	80.3
34129683	Literary 	71.7
34129689	Literary 	74.6
34129690	Literary 	60.1
34129695	Literary 	69.9
34129701	Literary 	65.9
34129703	Literary 	56.9
34129704	Literary 	74.7
34129705	Literary 	54.9
34129713	Literary 	65.6
34129717	Literary 	64.3
34129720	Literary 	62
34129724	Literary 	68.6
34129726	Literary 	81.4
34129727	Literary 	81.3
34129728	Literary 	73.7
34129731	Literary 	82.1
34129732	Literary 	71.1
34129734	Literary 	79.3
34129735	Literary 	66.9
34129738	Literary 	65.1
34129739	Literary 	69.9
34129746	Literary 	74.4
34129751	Literary 	69.9
